Country Name,Country Code,Population2017
Suriname,SUR,563402
Slovak Republic,SVK,5439892
Slovenia,SVN,2066748
Sweden,SWE,10067744
Eswatini,SWZ,1367254
Sint Maarten (Dutch part),SXM,41109
Seychelles,SYC,95843
Syrian Arab Republic,SYR,18269868
Turks and Caicos Islands,TCA,35446
Chad,TCD,14899994
East Asia & Pacific (IDA & IBRD countries),TEA,2042783496
Europe & Central Asia (IDA & IBRD countries),TEC,457647735
Togo,TGO,7797694
Thailand,THA,69037513
Tajikistan,TJK,8921343
Turkmenistan,TKM,5758075
Latin America & the Caribbean (IDA & IBRD countries),TLA,628059792
Timor-Leste,TLS,1296311
Middle East & North Africa (IDA & IBRD countries),TMN,375217005
Tonga,TON,108020
South Asia (IDA & IBRD),TSA,1788388852
Sub-Saharan Africa (IDA & IBRD countries),TSS,1061107721
Trinidad and Tobago,TTO,1369125
Tunisia,TUN,11532127
Turkey,TUR,80745020
Tuvalu,TUV,11192
Tanzania,TZA,57310019
Uganda,UGA,42862958
Ukraine,UKR,44831159
Upper middle income,UMC,2576202556
Uruguay,URY,3456750
United States,USA,325719178
Uzbekistan,UZB,32387200
St. Vincent and the Grenadines,VCT,109897
"Venezuela, RB",VEN,31977065
British Virgin Islands,VGB,31196
Virgin Islands (U.S.),VIR,107268
Vietnam,VNM,95540800
Vanuatu,VUT,276244
World,WLD,7530360149
Samoa,WSM,196440
Kosovo,XKX,1830700
"Yemen, Rep.",YEM,28250420
South Africa,ZAF,56717156
Zambia,ZMB,17094130
Zimbabwe,ZWE,16529904
